Combination,Hitcount
C003–A004,5
C003–A009,5
C003–A010,7
C003–A012,9
C003–A014,7
C003–A019,8
C003–A033,1
C003–A034,6
C029–A010,2
C029–A012,8
C029–A013,10
C029–A014,5
C029–A019,10
C029–A034,7
C029–A055,1
C046–A009,2
C046–A010,7
C046–A012,9
C046–A013,8
C046–A014,8
C046–A022,3
C046–A027,1
C046–A029,1
C046–A032,5
C046–A033,1
C046–A034,6
C054–A004,2
C054–A010,9
C054–A012,10
C054–A014,8
C054–A029,1
C054–A034,6
C105–A004,10
C105–A010,8
C105–A012,8
C105–A013,9
C105–A014,5
C105–A019,6
C105–A022,10
C105–A027,3
C105–A034,9
C105–A050,1
C105–A055,1
C139–A004,1
C139–A010,4
C139–A012,9
C139–A013,4
C139–A027,1
C139–A034,3
